Date,Equipe 1,Equipe 2,Coupe
18/05/2026,arm2,Thales DIS1,non
19/05/2026,,,non
21/05/2026,FortiTeam,arm1,non
21/05/2026,EURECOM 1,THALES,non
21/05/2026,AirFrance,SiMoVolley,non
26/05/2026,Synopsys,Thales DIS1,non
28/05/2026,arm2,EURECOM 2,non
28/05/2026,NXP2,EkipEkip,non
28/05/2026,Amadeus 2,CADENCE,non
01/06/2026,THALES,Renault,non
01/06/2026,EURECOM 1,NXP1,non
01/06/2026,Amadeus 1,SiMoVolley,non
02/06/2026,CADENCE,InDeMENTAble,non
04/06/2026,NXP2,Thales DIS2,non
04/06/2026,EURECOM 2,EkipEkip,non
04/06/2026,arm2,Amadeus 2,non
08/06/2026,CADENCE,Thales DIS1,non
08/06/2026,NXP2,Synopsys,non
08/06/2026,Amadeus 2,InDeMENTAble,non
09/06/2026,Synopsys,Thales DIS2,non
11/06/2026,NXP1,arm1,non
11/06/2026,AirFrance,Renault,non
11/06/2026,FortiTeam,SiMoVolley,non
15/06/2026,Renault,EURECOM 1,non
15/06/2026,Amadeus 1,THALES,non
15/06/2026,SiMoVolley,arm1,non
16/06/2026,?,?,oui
18/06/2026,Thales DIS2,EURECOM 2,non
18/06/2026,InDeMENTAble,arm2,non
18/06/2026,EkipEkip,Thales DIS1,non
22/06/2026,NXP2,CADENCE,non
22/06/2026,Synopsys,EURECOM 2,non
22/06/2026,InDeMENTAble,EkipEkip,non
23/06/2026,NXP2,arm2,non
25/06/2026,CADENCE,Thales DIS2,non
25/06/2026,Thales DIS1,Amadeus 2,non
25/06/2026,FortiTeam,AirFrance,non
29/06/2026,,,non
29/06/2026,,,non
29/06/2026,,,non
30/06/2026,,,non
02/07/2026,,,non
02/07/2026,,,non
02/07/2026,,,non
